label|data|text
value_error|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ LFCC-57 ], <classification> classification: [ replayed ], <shap_value> shap value: [ -0.3017 ], <detected_by> detected by: [ CNN ]> )|Yes LFCC which a sha value of -0.3017 was used to detect the sample as PhysicalAccess was detected by CNN ...
repetition|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ LFCC-2 ], <classification> classification: [ bonafide ], <shap_value> shap value: [ 0.7662 ]> )|Yes LFCC which a shap value of 0.7662 was used to detect the sample as Audio_signal ... Yes LFCC which a shap value of 0.7662 was used to detect the sample as Audio_signal ...
accurate|<inform> inform ( <interpreter> interpreter: [ shap ], <important> important: [ PSRCC-9 ], <shap_value> shap value: [ 0.0969 ]> )|shap determined that the PSRCC feature was one of the more important features by assigning it a value of 0.0969 ...
hallucination|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ PSRCC-7 ], <classification> classification: [ bonafide ], <shap_value> shap value: [ -0.9946 ]> )|shap determined that the MFCC feature was one of the more important features by assigning it a value of 0.3447 ... Yes PSRCC which a shap value of -0.9946 was used to detect the sample as Audio_signal ...
accurate|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ computer ]> )|The audio shows signs of 3 different editors ...
hallucination|<inform> inform ( <interpreter> interpreter: [ shap ], <important> important: [ MFCC-34 ], <shap_value> shap value: [ -0.2356 ]> )|the audio sample had CepstralFeature features extracted and LFCC was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess ... shap determined that the MFCC feature was one of the more important features by assigning it a value of -0.2356 ...
repetition|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ sampling ], <sample_start> sample start: [ 20 ]> )|The audio cuts abruptly at the 20 second mark ... The audio cuts abruptly at the 20 second mark ...
accurate|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 2 ], <feature> feature: [ MFCC-3 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.0695 ]> )|Yes MFCC which a shap value of 0.0695 was used to detect the id of speaker 2 for the audio sample ...
repetition|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 7 ], <feature> feature: [ PSRCC-12 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.9752 ]> )|Yes PSRCC which a shap value of 0.9752 was used to detect the id of speaker 7 for the audio sample ... Yes PSRCC which a shap value of 0.9752 was used to detect the id of speaker 7 for the audio sample ...
value_error|<inform> inform ( <response> response: [ no ], <speaker_id> speaker id: [ 3 ], <feature> feature: [ GTCC-6 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 1 ]> )|Yes GTCC which a shap value of 1 was used to detect the id of speaker 3 for the audio sample ...
accurate|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 5 ], <feature> feature: [ LFCC-51 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ -0.5435 ]> )|Yes LFCC which a shap value of -0.5435 was used to detect the id of speaker 5 for the audio sample ...
hallucination|<inform> inform ( <extracted> extracted: [ LFCC ], <model> model: [ CNN ], <important> important: [ LFCC-57 ], <classification> classification: [ replayed ], <detected_by> detected by: [ CNN ]> )|yes MFCC was used to determine speaker id ...
accurate|<inform> inform ( <response> response: [ Yes ], <classification> classification: [ spoofed ], <spoof_type> spoof type: [ cloning ]> )|There appears to be a cloned voice on the recording ...
accurate|<inform> inform ( <interpreter> interpreter: [ shap ], <important> important: [ MSRCC-10 ], <shap_value> shap value: [ -0.331 ]> )|shap determined that the MSRCC feature was one of the more important features by assigning it a value of -0.331 ...
accurate|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 1 ], <feature> feature: [ MFCC-41 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.1403 ]> )|Yes MFCC which a shap value of 0.1403 was used to detect the id of speaker 1 for the audio sample ...
accurate|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ conversion ]> )|It appears the audio sample was converted ..
repetition|<inform> inform ( <interpreter> interpreter: [ shap ], <important> important: [ MFCC-0 ], <shap_value> shap value: [ -0.3268 ]> )|shap determined that the MFCC feature was one of the more important features by assigning it a value of -0.3268 ... shap determined that the MFCC feature was one of the more important features by assigning it a value of -0.3268 ...
repetition|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ LFCC-32 ], <classification> classification: [ bonafide ], <shap_value> shap value: [ -0.9762 ]> )|Yes LFCC which a shap value of -0.9762 was used to detect the sample as Audio_signal ... Yes LFCC which a shap value of -0.9762 was used to detect the sample as Audio_signal ...
omission|<inform> inform ( > )|The Mel physicalattribute Cepstral Coefficients CepstralFeature are used for automatic Acoustic_Wave recognition . They lead to a compact Abstract of the frequency spectrum. The mel in the name describes the perceived pitch. The linear modeling of speech generation serves as the actual basis for the generation of MFCCs A periodic excitation signal vocal cords is formed by a linear SoftwareAgent mouth tongue nasal cavities ... .
value_error|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 1 ], <feature> feature: [ LFCC-16 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ -0.9965 ]> )|Yes LFCC which a shap value of -0.9965 was used to detect the id of speaker  for the audio sample ...
accurate|<inform> inform ( <classification> classification: [ spoof ]> )|It is not a bona fide audio ...
hallucination|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ multi_microphone ], <mic_quantity> mic quantity: [ >1 ]> )|Yes MFCC which a shap value of 0.8416 was used to detect the id of speaker 6 for the audio sample ...
repetition|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 5 ], <feature> feature: [ MFCC-1 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.4636 ]> )|Yes person 5 was detected by MFCC with a shap value of 0.4636 ... Yes person 5 was detected by MFCC with a shap value of 0.4636 ...
repetition|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ synthetic ], <detected_by> detected by: [ CNN ]> )|The Audio_signal was detected by CNN audio was a synthetic audio ... The Audio_signal was detected by CNN audio was a synthetic audio ...
accurate|<inform> inform ( <extracted> extracted: [ LFCC ], <model> model: [ CNN ], <important> important: [ LFCC-29 ], <classification> classification: [ bonafide ]> )|the audio sample had CepstralFeature features extracted and LFCC was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audio_signal ...
hallucination|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ LFCC-51 ], <classification> classification: [ bonafide ], <shap_value> shap value: [ 0.9936 ]> )|Yes person 5 was detected by LFCC with a shap value of 0.6918 ... Yes LFCC which a shap value of 0.9936 was used to detect the sample as Audio_signal ...
hallucination|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 1 ], <feature> feature: [ LFCC-17 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ -0.5241 ]> )|Yes LFCC which a shap value of 0.2774 was used to detect the sample as Audio_signal ...
hallucination|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ MFCC-16 ], <classification> classification: [ bonafide ], <shap_value> shap value: [ 0.2999 ]> )|Yes MFCC which a shap value of -0.2267 was used to detect the sample as PhysicalAccess was detected by CNN ...
accurate|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 3 ], <feature> feature: [ MFCC-16 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.0302 ]> )|Yes person 3 was detected by MFCC with a shap value of 0.0302 ...
value_error|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 2 ], <feature> feature: [ LFCC-23 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ -0.3711 ]> )|Yes LFCC which a yes value of -0.3711 was used to detect the id of speaker 2 for the audio sample ...
hallucination|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 1 ], <feature> feature: [ PSRCC-9 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.5419 ]> )|8 was found to be the id of the speaker in the sample ...
accurate|<inform> inform ( <extracted> extracted: [ LFCC ], <model> model: [ CNN ], <important> important: [ LFCC-30 ], <classification> classification: [ bonafide ]> )|the audio sample had CepstralFeature features extracted and LFCC was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audio_signal ...
hallucination|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ MSRCC-12 ], <classification> classification: [ replayed ], <shap_value> shap value: [ -0.046 ], <detected_by> detected by: [ CNN ]> )|Yes LFCC which a shap value of 0.8478 was used to detect the sample as PhysicalAccess was detected by CNN ... Yes MSRCC which a shap value of -0.046 was used to detect the sample as PhysicalAccess was detected by CNN ...
repetition|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ LFCC-21 ], <classification> classification: [ replayed ], <shap_value> shap value: [ 0.2522 ], <detected_by> detected by: [ CNN ]> )|Yes LFCC which a shap value of 0.2522 was used to detect the sample as PhysicalAccess was detected by CNN ... Yes LFCC which a shap value of 0.2522 was used to detect the sample as PhysicalAccess was detected by CNN ...
accurate|<inform> inform ( <classification> classification: [ bonafide ], <edit_type> edit type: [ none ], <classified_by> classified by: [ feature ], <detected_by> detected by: [ CNN ]> )|The Audio_signal was detected by CNN audio was not a PhysicalAccess audio ...
repetition|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ copy ]> )|Part of the audio was played back ... Part of the audio was played back ...
accurate|<inform> inform ( <interpreter> interpreter: [ shap ], <important> important: [ LFCC-47 ], <shap_value> shap value: [ 0.6378 ]> )|shap determined that the LFCC feature was one of the more important features by assigning it a value of 0.6378 ...
repetition|<inform> inform ( <extracted> extracted: [ MFCC ], <extracted> extracted: [ GTCC ], <model> model: [ SVM ], <speaker_id> speaker id: [ 5 ]> )|The audio sample had CepstralFeature and Cepstrum features extracted and passed through a trained ClassificationAlgorithm which determined the id of speaker 5 ... The audio sample had CepstralFeature and Cepstrum features extracted and passed through a trained ClassificationAlgorithm which determined the id of speaker 5 ...
accurate|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 6 ], <feature> feature: [ PSRCC-5 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ -0.3035 ]> )|Yes person 6 was detected by PSRCC with a shap value of -0.3035 ...
value_error|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 4 ], <feature> feature: [ MFCC-25 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ -0.8658 ]> )|Yes MFCC which a  value of -0.8658 was used to detect the id of speaker 4 for the audio sample ...
accurate|<inform> inform ( <classification> classification: [ spoofed ], <model> model: [ CNN ], <detected_by> detected by: [ CNN ]> )|The recording file was classified as being Audio_signal by a FeedforwardNeuralNetwork Abstract ...
hallucination|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ MFCC-21 ], <classification> classification: [ bonafide ], <shap_value> shap value: [ 0.5107 ]> )|Yes MFCC which a shap value of -0.6368 was used to detect the id of speaker 4 for the audio sample ... Yes MFCC which a shap value of 0.5107 was used to detect the sample as Audio_signal ...
