label|data|text
accurate|<inform> inform ( <speaker_id> speaker id: [ 5 ]> )|5 was found to be the id of the speaker in the sample ..
value_error|<inform> inform ( <extracted> extracted: [ PSRCC ], <model> model: [ CNN ], <important> important: [ PSRCC-6 ], <classification> classification: [ bonafide ]> )|the audio sample had Cepstrum features extracted and StaticCNN was determined to have a large impact on the Feedforward_Neural_Network Representation that determined the sample to be DigitalSignal ..
hallucination|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 2 ], <feature> feature: [ MFCC-8 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ -0.7314 ]> )|Yes person 5 was detected by StaticMFCC with a shap value of 0.4636 .. Yes StaticMFCC which a shap value of -0.7314 was used to detect the id of speaker 2 for the audio sample ..
hallucination|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ speed ], <change_at> change at: [ 20 ]> )|shap determined that the DeltaDeltaLFCC feature was one of the more important features by assigning it a value of 0.6378 ..
accurate|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ LFCC-37 ], <classification> classification: [ replayed ], <shap_value> shap value: [ 0.4298 ], <detected_by> detected by: [ CNN ]> )|Yes DeltaLFCC which a shap value of 0.4298 was used to detect the sample as PhysicalAccess was detected by CNN,  ..
hallucination|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ environment ], <change_at> change at: [ 20 ]> )|Yes person 7 was detected by StaticMSRCC with a shap value of 0.0638 .. Artificial background noise was added to the recording ..
accurate|<inform> inform ( <classification> classification: [ spoof ], <edit_type> edit type: [ software ]> )|It was altered using software ..
value_error|<inform> inform ( <interpreter> interpreter: [ shap ], <important> important: [ MFCC-20 ], <shap_value> shap value: [ 0.3878 ]> )|shap determined that the DeltaMFCC feature was one of the more important features by assigning it a value of 0.38 ..
hallucination|<inform> inform ( <classification> classification: [ spoof ], <known_mic_signature> known mic signature: [ unknown ]> )|Yes DeltaLFCC which a shap value of -0.1149 was used to detect the sample as DigitalSignal ..
repetition|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ GTCC-12 ], <classification> classification: [ bonafide ], <shap_value> shap value: [ 0 ]> )|Yes StaticGTCC which a shap value of 0 was used to detect the sample as DigitalSignal .. Yes StaticGTCC which a shap value of 0 was used to detect the sample as DigitalSignal ..
hallucination|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 2 ], <feature> feature: [ MFCC-15 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.1546 ]> )|It seems like a computer was used .. Yes person 2 was detected by DeltaMFCC with a shap value of 0.1546 ..
repetition|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 5 ], <feature> feature: [ MSRCC-2 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.3503 ]> )|Yes StaticMSRCC which a shap value of 0.3503 was used to detect the id of speaker 5 for the audio sample .. Yes StaticMSRCC which a shap value of 0.3503 was used to detect the id of speaker 5 for the audio sample ..
value_error|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ MFCC-3 ], <classification> classification: [ replayed ], <shap_value> shap value: [ -0.2809 ], <detected_by> detected by: [ CNN ]> )|MFCC-3 StaticMFCC which a shap value of -0.2809 was used to detect the sample as PhysicalAccess was detected by CNN,  ..
hallucination|<inform> inform ( <response> response: [ Yes ], <classification> classification: [ spoofed ], <spoof_type> spoof type: [ replayed ]> )|Yes DeltaDeltaLFCC which a shap value of -0.1075 was used to detect the sample as PhysicalAccess was detected by CNN,  ..
accurate|<inform> inform ( <classification> classification: [ bonafide ], <edit_type> edit type: [ none ]> )|There were no other spoof types ..
hallucination|<inform> inform ( <response> response: [ yes ], <speaker_id> speaker id: [ 4 ], <feature> feature: [ LFCC-48 ], <interpreter> interpreter: [ shap ], <shap_value> shap value: [ 0.957 ]> )|Yes DeltaMFCC which a shap value of 0.9811 was used to detect the sample as PhysicalAccess was detected by CNN,  .. Yes DeltaDeltaLFCC which a shap value of 0.957 was used to detect the id of speaker 4 for the audio sample ..
hallucination|<inform> inform ( <speaker_id> speaker id: [ 1 ]> )|Yes the recording shows signs of 3 different editors .. person 1 was detected as the primary speaker of the audio sample ..
value_error|<inform> inform ( <response> response: [ Yes ], <interpreter> interpreter: [ shap ], <important> important: [ MFCC-1 ], <classification> classification: [ replayed ], <shap_value> shap value: [ -0.5673 ], <detected_by> detected by: [ CNN ]> )|Yes StaticMFCC which a sh value of -0.5673 was used to detect the sample as PhysicalAccess was detected by CNN,  ..
